Fuldførelsesår;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Uddannelse;MGRPTX;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad;Ledighedsgrad
Erhvervsakademiuddannelser (EA);Total;8,2 %;11,5 %;10,9 %;10,0 %;10,8 %;10,6 %;10,3 %;10,0 %;9,9 %;9,1 %;9,4 %;11,3 %
Øvrige korte videregående uddannelser;Total;1,7 %;2,8 %;1,7 %;3,8 %;4,1 %;4,1 %;4,0 %;9,2 %;9,9 %;6,3 %;3,1 %;4,8 %
Professionsbachelorer;Total;3,6 %;6,4 %;8,9 %;9,4 %;10,3 %;8,8 %;8,1 %;8,1 %;7,5 %;7,2 %;7,7 %;9,4 %
Øvrige mellemlange videregående uddannelser;Total;2,7 %;4,4 %;9,0 %;10,5 %;8,5 %;5,8 %;6,5 %;3,6 %;7,4 %;5,9 %;4,3 %;4,2 %
Udelte kandidatuddannelser;Total;4,7 %;8,5 %;6,9 %;4,2 %;10,1 %;8,8 %;14,9 %;31,4 %;26,3 %;;;
Kandidatuddannelser;Total;8,9 %;12,7 %;13,4 %;13,5 %;13,5 %;12,7 %;11,3 %;10,8 %;11,1 %;11,3 %;11,9 %;13,5 %
Kandidatuddannelser;Samfund, kandidat;5,5 %;8,8 %;10,4 %;11,8 %;11,7 %;10,0 %;9,0 %;8,4 %;8,3 %;7,9 %;8,9 %;9,5 %
Kandidatuddannelser;Humaniora, kandidat;15,6 %;21,0 %;21,3 %;21,9 %;22,6 %;21,5 %;19,4 %;18,9 %;19,1 %;20,3 %;21,4 %;25,3 %
Kandidatuddannelser;Teknik, kandidat;9,4 %;12,3 %;10,1 %;9,0 %;10,1 %;10,8 %;9,5 %;8,2 %;9,1 %;8,4 %;9,2 %;10,9 %
Kandidatuddannelser;Natur, kandidat;8,5 %;11,5 %;13,8 %;13,6 %;13,1 %;13,0 %;11,7 %;11,5 %;12,4 %;12,9 %;13,5 %;14,7 %
Kandidatuddannelser;Sundhed, kandidat;1,3 %;4,2 %;4,5 %;4,8 %;4,4 %;4,5 %;3,4 %;3,0 %;5,0 %;5,1 %;5,2 %;6,0 %
Total;;6,1 %;9,5 %;10,9 %;11,0 %;11,7 %;10,6 %;9,7 %;9,5 %;9,6 %;9,3 %;9,7 %;11,5 %
;;;;;;;;;;;;;
"Anvendte filtre: 
TvaerAar er 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, eller 2014
HGRPTX er ikke Erhvervsuddannelserne, hovedforløb, Øvrige erhvervsfaglige uddannelser, Akademisk bachelor, eller Ph.d., mv.
UddRessortTx er UFM";;;;;;;;;;;;;
